FECHA 2019-01-11 12:27:58.760000 | PLC1: 0.0000 | BR20: 0.5790 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 0.8950
FECHA 2019-01-11 12:27:59.756000 | PLC1: 0.0000 | BR20: 0.5610 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8440
FECHA 2019-01-11 12:28:00.702000 | PLC1: 0.0000 | BR20: 0.4930 | PLC2: 0.0000 | Mqtt: 3.0120 | TOTAL: 3.8050
FECHA 2019-01-11 12:28:04.608000 | PLC1: 0.0000 | BR20: 0.5060 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 0.8700
FECHA 2019-01-11 12:28:05.580000 | PLC1: 0.0000 | BR20: 3.4920 | PLC2: 0.0000 | Mqtt: 0.0210 | TOTAL: 3.8240
FECHA 2019-01-11 12:28:09.506000 | PLC1: 0.0000 | BR20: 0.6700 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 1.0090
FECHA 2019-01-11 12:28:10.617000 | PLC1: 0.0000 | BR20: 0.5300 | PLC2: 0.0000 | Mqtt: 0.0450 | TOTAL: 0.8440
FECHA 2019-01-11 12:28:11.562000 | PLC1: 0.0000 | BR20: 0.5440 | PLC2: 0.0000 | Mqtt: 0.0100 | TOTAL: 0.8310
FECHA 2019-01-11 12:28:12.494000 | PLC1: 0.0000 | BR20: 0.5500 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8740
FECHA 2019-01-11 12:28:13.470000 | PLC1: 0.0000 | BR20: 0.5240 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.7970
FECHA 2019-01-11 12:28:14.368000 | PLC1: 0.0000 | BR20: 0.5300 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.8900
FECHA 2019-01-11 12:28:15.359000 | PLC1: 0.0000 | BR20: 0.5290 | PLC2: 0.0000 | Mqtt: 0.0180 | TOTAL: 0.8640
FECHA 2019-01-11 12:28:16.325000 | PLC1: 0.0000 | BR20: 0.5180 | PLC2: 0.0000 | Mqtt: 0.0130 | TOTAL: 0.8390
FECHA 2019-01-11 12:28:17.266000 | PLC1: 0.0000 | BR20: 0.5210 | PLC2: 0.0000 | Mqtt: 0.0090 | TOTAL: 0.8490
FECHA 2019-01-11 12:28:18.217000 | PLC1: 0.0000 | BR20: 0.4930 | PLC2: 0.0000 | Mqtt: 0.0140 | TOTAL: 0.8370
FECHA 2019-01-11 12:28:19.155000 | PLC1: 0.0000 | BR20: 0.5210 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.9130
FECHA 2019-01-11 12:28:20.170000 | PLC1: 0.0000 | BR20: 0.4960 | PLC2: 0.0000 | Mqtt: 0.0280 | TOTAL: 0.8190
FECHA 2019-01-11 12:28:21.090000 | PLC1: 0.0000 | BR20: 0.5050 | PLC2: 0.0000 | Mqtt: 0.0090 | TOTAL: 0.7910
FECHA 2019-01-11 12:28:21.983000 | PLC1: 0.0000 | BR20: 0.4940 | PLC2: 0.0000 | Mqtt: 0.0190 | TOTAL: 0.8120
FECHA 2019-01-11 12:28:22.896000 | PLC1: 0.0000 | BR20: 0.5140 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 0.8260
FECHA 2019-01-11 12:28:23.824000 | PLC1: 0.0000 | BR20: 0.5310 | PLC2: 0.0000 | Mqtt: 0.0180 | TOTAL: 0.8770
FECHA 2019-01-11 12:28:24.802000 | PLC1: 0.0000 | BR20: 0.4970 | PLC2: 0.0000 | Mqtt: 0.0080 | TOTAL: 0.7790
FECHA 2019-01-11 12:28:25.682000 | PLC1: 0.0000 | BR20: 0.5130 | PLC2: 0.0000 | Mqtt: 0.0960 | TOTAL: 0.9080
FECHA 2019-01-11 12:28:26.692000 | PLC1: 0.0000 | BR20: 0.4950 | PLC2: 0.0000 | Mqtt: 0.0120 | TOTAL: 0.8150
FECHA 2019-01-11 12:28:27.609000 | PLC1: 0.0000 | BR20: 0.5080 | PLC2: 0.0000 | Mqtt: 0.0100 | TOTAL: 0.9180
FECHA 2019-01-11 12:28:28.628000 | PLC1: 0.0000 | BR20: 0.5780 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.9300
FECHA 2019-01-11 12:28:29.659000 | PLC1: 0.0000 | BR20: 0.5060 | PLC2: 0.0000 | Mqtt: 0.1050 | TOTAL: 0.9960
FECHA 2019-01-11 12:28:30.757000 | PLC1: 0.0000 | BR20: 0.5050 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.8440
FECHA 2019-01-11 12:28:31.702000 | PLC1: 0.0000 | BR20: 0.4960 | PLC2: 0.0000 | Mqtt: 0.0110 | TOTAL: 0.8590
FECHA 2019-01-11 12:28:32.663000 | PLC1: 0.0000 | BR20: 0.5430 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 0.8700
FECHA 2019-01-11 12:28:33.634000 | PLC1: 0.0000 | BR20: 0.5280 | PLC2: 0.0000 | Mqtt: 0.0080 | TOTAL: 0.8910
FECHA 2019-01-11 12:28:34.626000 | PLC1: 0.0000 | BR20: 0.4880 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.7560
FECHA 2019-01-11 12:28:35.484000 | PLC1: 0.0000 | BR20: 0.5260 | PLC2: 0.0000 | Mqtt: 0.0110 | TOTAL: 0.8440
FECHA 2019-01-11 12:28:36.430000 | PLC1: 0.0000 | BR20: 0.5350 | PLC2: 0.0000 | Mqtt: 0.0130 | TOTAL: 0.8550
FECHA 2019-01-11 12:28:37.386000 | PLC1: 0.0000 | BR20: 0.5090 | PLC2: 0.0000 | Mqtt: 0.0100 | TOTAL: 0.8300
FECHA 2019-01-11 12:28:38.318000 | PLC1: 0.0000 | BR20: 0.4990 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8380
FECHA 2019-01-11 12:28:39.258000 | PLC1: 0.0000 | BR20: 0.5480 | PLC2: 0.0000 | Mqtt: 0.0150 | TOTAL: 0.9080
FECHA 2019-01-11 12:28:40.267000 | PLC1: 0.0000 | BR20: 0.5610 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.8900
FECHA 2019-01-11 12:28:41.259000 | PLC1: 0.0000 | BR20: 0.5290 | PLC2: 0.0000 | Mqtt: 0.0720 | TOTAL: 0.9300
FECHA 2019-01-11 12:28:42.291000 | PLC1: 0.0000 | BR20: 0.5080 | PLC2: 0.0000 | Mqtt: 0.0150 | TOTAL: 0.8300
FECHA 2019-01-11 12:28:43.223000 | PLC1: 0.0000 | BR20: 0.5610 | PLC2: 0.0000 | Mqtt: 0.0150 | TOTAL: 0.8980
FECHA 2019-01-11 12:28:44.222000 | PLC1: 0.0000 | BR20: 0.6440 | PLC2: 0.0000 | Mqtt: 0.0170 | TOTAL: 0.9340
FECHA 2019-01-11 12:28:45.258000 | PLC1: 0.0000 | BR20: 0.4820 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.7870
FECHA 2019-01-11 12:28:46.147000 | PLC1: 0.0000 | BR20: 0.5410 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8650
